id	CISD1 Expression
GSM1539636_treat	8.295174
GSM1539638_treat	8.18441
GSM1539639_treat	8.511279
GSM1539640_treat	8.013518
GSM1539642_treat	8.436313
GSM1539645_treat	8.102973
GSM1539654_treat	8.225767
GSM1539657_treat	7.937197
GSM1539658_treat	8.009433
GSM1539659_treat	7.879443
GSM1539669_treat	8.142553
GSM1539672_treat	8.249326
GSM1539680_treat	7.834567
GSM1539681_treat	7.97696
GSM1539682_treat	7.828342
GSM1539683_treat	7.624871
GSM1539684_treat	8.022387
GSM1539690_treat	8.696717
GSM1539700_treat	8.330047
GSM1539708_treat	8.252267
GSM1539724_treat	8.210892
GSM1539725_treat	8.099231
GSM1539726_treat	7.825493
GSM1539730_treat	8.045225
GSM1539734_treat	8.370345
GSM1539735_treat	8.161655
GSM1539741_treat	8.07313
GSM1539744_treat	8.078775
GSM1539753_treat	8.039378
GSM1539755_treat	7.968836
GSM1539756_treat	8.264714
GSM1539760_treat	8.332688
GSM1539761_treat	8.278261
GSM1539771_treat	8.185341
GSM1539772_treat	8.163444
GSM1539774_treat	8.069877
GSM1539776_treat	8.756837
GSM1539782_treat	7.955966
GSM1539784_treat	7.955168
GSM1539786_treat	7.560414
GSM1539789_treat	7.828697
GSM1539790_treat	8.373044
GSM1539791_treat	8.433458
GSM1539792_treat	7.569536
GSM1539793_treat	8.157695
GSM1539688_treat	8.115083
